Sample,Sample protolith type,U-Pb data? (Yes/No),Used in MDS?,Lu-Hf data? (Yes/No),Country,Region,Domain,Group/Strat unit,Lithology,Longitude,Latitude,Location method,Analytical method,Mineral,Reference,DOI URL,age,ageerr,
PP580,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Granodiorite,48.362,-20.0835,,,zircon,BGS et al. 2008,,825,15,2
RK06-374,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Gneiss Quartzo-Feldspathique,47.9225,-21.2927,,,zircon,BGS et al. 2008,,631,7,2
RT06-306,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Métadiorite,48.355,-20.0853,,,zircon,BGS et al. 2008,,837,12,2
RT06-327,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Métadiorite,48.3535,-20.2195,,,zircon,BGS et al. 2008,,829,5,2
BT30167,Magmatic,Yes,No,Yes,Madagascar,Madagascar - Antongil-Masora,Antongil Domain,Ambodiriana Group,Granitic augen gneiss,49.1403,-17.3802,Reported,SHRIMP/ICP-MS,Zircon,Schofield et al. 2010/Armistead et al. 2017,http://dx.doi.org/10.1016/j.precamres.2010.07.006,2531,16,
BT06270,Magmatic,Yes,No,Yes,Madagascar,Madagascar - Antongil-Masora,Antongil Domain,Masoala Suite,Potassic granite,50.3434,-15.2989,Reported,SHRIMP/ICP-MS,Zircon,Schofield et al. 2010/Armistead et al. 2017,http://dx.doi.org/10.1016/j.precamres.2010.07.006,2532,7,
WD-6,Magmatic,Yes,No,No,India,India - Dharwar Craton,Western Dharwar Craton,Nuggihalli schist belt,orthogneiss,76.299547,13.341923,Reported,Cameca ims–4f ion microprobe,Zircon,Maibam et al. 2011,http://dx.doi.org/10.1007/s12040-011-0094-1,3067,9,
SI10-62,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,Pegmatite,78.17127778,11.34477778,,,zircon,Plavsa 2015,,554,9,
MJY-08-11,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Cross-cutting pegmatite,47.9858,-21.0767,,,zircon,BRGM-USGS,,530,50,2
RT-02M-105B,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Pegmatite,47.8172,-21.1955,,,zircon,BRGM-USGS,,520,50,2
RT-02O-58,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Metagabbro,49.12051314,-17.7618606,,,zircon,BRGM-USGS,,800,50,2
BM04,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Orthogneiss granitique,49.7734,-16.1774,,,zircon,Paquette et al.  2003,,2513,0.4,2
BM07,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Orthogneiss granitique,49.6959,-16.072,,,zircon,Paquette et al.  2003,,2522.7,0.3,2
BM09,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Orthogneiss granitique,49.6959,-16.072,,,zircon,Paquette et al.  2003,,2532.1,0.3,2
BT30202,Magmatic,Yes,,Yes,Madagascar,Madagascar - Antongil-Masora,A/M,,Dacitic greenschist,49.6982,-16.1065,,,zircon,BGS et al. 2008,,2541,9,2
DS30509,Magmatic,Yes,No,No,Madagascar,Madagascar - Antongil-Masora,Antongil Domain,Fenoarivo Group,leucogranite,49.541500,-17.019100,Reported,,Zircon,Schofield et al. 2010,http://dx.doi.org/10.1016/j.precamres.2010.07.006,3176,6,
