Sample,Spot name,Collated,CoreRim,Sample protolith type,Country,Region,Region2,Domain,Lithology,Reference,Ref2,long,lat,age76,age76_2s,age638,age638_2s,age735,age735_2s,,
BDW197,BDW 197 50,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1398,156,1035,129,,,,65
BDW197,BDW 197 50 A,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,886,196,583,45,,,,48
BDW197,BDW 197 50 B,2,drilled,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1703,29,1425,72,,,,80
BDW197,BDW 197 51,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1817,18,1844,35,,,,101
BDW197,BDW 197 52,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2621,17,2594,52,,,,99
BDW197,BDW 197 53,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2646,17,2216,41,,,,81
BDW197,BDW 197 54,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1853,18,1815,33,,,,98
BDW197,BDW 197 55,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1762,18,1480,29,,,,81
BDW197,BDW 197 56,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1783,18,1589,30,,,,88
BDW197,BDW 197 57,2,C,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2038,18,2007,46,,,,98
BDW197,BDW 197 58,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2473,17,2475,53,,,,100
BDW197,BDW 197 59,2,R,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1822,18,1777,38,,,,97
BDW197,BDW 197 60,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1961,18,1859,35,,,,95
BDW197,BDW 197 61,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1972,18,1862,37,,,,94
BDW197,BDW 197 62,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2259,17,2155,47,,,,95
BDW197,BDW 197 63,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1821,18,1780,35,,,,98
BDW197,BDW 197 64,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1811,18,1784,53,,,,98
BDW197,BDW 197 65,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1827,18,1825,35,,,,100
BDW197,BDW 197 66,2,R,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1831,18,1910,37,,,,104
BDW197,BDW 197 67,2,R,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2498,17,2498,49,,,,100
BDW197,BDW 197 68,2,R,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1806,18,1699,41,,,,94
BDW197,BDW 197 69,2,inherited,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1832,18,1859,33,,,,101
BDW197,BDW 197 70,2,R,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,1831,30,1897,34,,,,103
BDW197,BDW 197 71,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2181,17,2077,44,,,,95
BDW197,BDW 197 72,2,igneous,Detrital,Madagascar,Madagascar - Sahantaha,Madagascar - greater Itremo,Sahantaha,Quartzite,BGS et al. 2008/this study,thisstudy,49.9301,-14.5246,2330,17,2203,42,,,,94
